
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-04 16:02:46 / ............................................ ~ 0.13ms
  2026-04-04 16:02:47 /build/assets/app-IH1KV5ZA.css ............... ~ 0.05ms
  2026-04-04 16:02:47 /build/assets/app-Ctiewbqv.js ................ ~ 0.19ms
  2026-04-04 16:12:03 / ............................................ ~ 1.41ms
  2026-04-04 16:12:03 /build/assets/app-XM7jvT29.css ............... ~ 0.07ms
  2026-04-04 16:12:03 /build/assets/app-DWMiIgAc.js ................ ~ 0.61ms
  2026-04-04 16:12:07 /api/properties .............................. ~ 0.13ms
  2026-04-04 16:12:09 /properties .................................. ~ 0.17ms
  2026-04-04 16:12:09 /build/assets/app-XM7jvT29.css ............... ~ 0.04ms
  2026-04-04 16:12:09 /build/assets/app-DWMiIgAc.js ................ ~ 0.03ms
  2026-04-04 16:12:09 /api/properties .............................. ~ 0.19ms
  2026-04-04 16:14:37 / ............................................ ~ 0.23ms
  2026-04-04 16:14:37 /build/assets/app-XM7jvT29.css ............... ~ 0.05ms
  2026-04-04 16:14:37 /build/assets/app-DWMiIgAc.js ................ ~ 0.22ms
  2026-04-04 16:14:41 /api/properties .............................. ~ 0.19ms
  2026-04-04 16:14:43 /properties .................................. ~ 0.12ms
  2026-04-04 16:14:43 /build/assets/app-XM7jvT29.css ............... ~ 0.05ms
  2026-04-04 16:14:43 /build/assets/app-DWMiIgAc.js ................ ~ 0.19ms
  2026-04-04 16:14:43 /api/properties .............................. ~ 0.11ms
  2026-04-04 16:16:45 / .......................................... ~ 500.67ms
  2026-04-04 16:16:45 /build/assets/app-5dHL4RzM.css ............... ~ 0.05ms
  2026-04-04 16:16:45 /build/assets/app-BMvFz24f.js ................ ~ 0.27ms
  2026-04-04 16:16:49 /properties .................................. ~ 0.12ms
  2026-04-04 16:16:49 /build/assets/app-5dHL4RzM.css ............... ~ 0.05ms
  2026-04-04 16:16:49 /build/assets/app-BMvFz24f.js ................ ~ 0.20ms
  2026-04-04 16:16:49 /api/properties .............................. ~ 0.12ms
  2026-04-04 16:16:51 /admin ....................................... ~ 0.11ms
  2026-04-04 16:16:51 /build/assets/app-5dHL4RzM.css ............... ~ 0.05ms
  2026-04-04 16:16:51 /build/assets/app-BMvFz24f.js ................ ~ 0.20ms
  2026-04-04 16:16:53 /agent ....................................... ~ 0.17ms
  2026-04-04 16:16:53 /build/assets/app-5dHL4RzM.css ............... ~ 0.06ms
  2026-04-04 16:16:53 /build/assets/app-BMvFz24f.js ................ ~ 2.18ms
  2026-04-04 16:16:56 /dashboard ................................. ~ 500.74ms
  2026-04-04 16:16:56 /build/assets/app-5dHL4RzM.css ............... ~ 0.11ms
  2026-04-04 16:16:56 /build/assets/app-BMvFz24f.js ................ ~ 0.31ms
  2026-04-04 16:16:59 /login ....................................... ~ 0.11ms
  2026-04-04 16:16:59 /build/assets/app-5dHL4RzM.css ............... ~ 0.05ms
  2026-04-04 16:16:59 /build/assets/app-BMvFz24f.js ................ ~ 0.23ms
